timestamp_utc,run_tag,solution,uptime_s,player_count,avg_rtt_ms,max_rtt_ms,min_rtt_ms,avg_jitter_ms,max_jitter_ms,avg_packet_loss_pct,bytes_sent_delta,bytes_recv_delta,ram_bytes,gc_heap_bytes,gc_gen0_delta,gc_gen1_delta,gc_gen2_delta,cpu_pct
2026-06-06T18:37:10.0509450Z,20260606T183644Z,custom,25.06,0,0,0,0,0,0,0,0,0,194510848,21269192,0,0,0,0
2026-06-06T18:37:15.0529020Z,20260606T183644Z,custom,30.06,0,0,0,0,0,0,0,0,0,194494464,21293784,0,0,0,0.1
2026-06-06T18:37:20.0544920Z,20260606T183644Z,custom,35.07,0,0,0,0,0,0,0,0,0,194641920,21302008,0,0,0,0.1
2026-06-06T18:37:25.0564290Z,20260606T183644Z,custom,40.07,0,0,0,0,0,0,0,0,0,194674688,21318456,0,0,0,0
2026-06-06T18:37:30.0587570Z,20260606T183644Z,custom,45.07,0,0,0,0,0,0,0,0,0,194904064,21334704,0,0,0,0
2026-06-06T18:37:35.0611110Z,20260606T183644Z,custom,50.07,0,0,0,0,0,0,0,0,0,194904064,21334704,0,0,0,0.1
2026-06-06T18:37:40.0643920Z,20260606T183644Z,custom,55.08,0,0,0,0,0,0,0,0,0,195166208,21359280,0,0,0,0.1
2026-06-06T18:37:45.0658450Z,20260606T183644Z,custom,60.08,0,0,0,0,0,0,0,0,0,195264512,21367504,0,0,0,0.1
2026-06-06T18:37:50.0675440Z,20260606T183644Z,custom,65.08,0,0,0,0,0,0,0,0,0,195248128,21375264,0,0,0,0.1
2026-06-06T18:37:55.0701730Z,20260606T183644Z,custom,70.08,0,0,0,0,0,0,0,0,0,195280896,21383488,0,0,0,0
2026-06-06T18:38:00.0724510Z,20260606T183644Z,custom,75.08,0,0,0,0,0,0,0,0,0,195756032,21391712,0,0,0,0
2026-06-06T18:38:05.0750500Z,20260606T183644Z,custom,80.09,0,0,0,0,0,0,0,0,0,195837952,21408160,0,0,0,0.1
2026-06-06T18:38:10.0784280Z,20260606T183644Z,custom,85.09,0,0,0,0,0,0,0,0,0,195887104,21416384,0,0,0,0.1
2026-06-06T18:38:15.0818700Z,20260606T183644Z,custom,90.09,0,0,0,0,0,0,0,0,0,195969024,21424608,0,0,0,0.1
2026-06-06T18:38:20.0830510Z,20260606T183644Z,custom,95.09,0,0,0,0,0,0,0,0,0,207519744,24643104,0,0,0,1.6
2026-06-06T18:38:25.0845920Z,20260606T183644Z,custom,100.1,0,0,0,0,0,0,0,0,0,208158720,24688312,0,0,0,0.2
2026-06-06T18:38:30.0868990Z,20260606T183826Z,custom,105.1,0,0,0,0,0,0,0,0,0,211255296,25208424,0,0,0,1.1
2026-06-06T18:38:35.0896530Z,20260606T183826Z,custom,110.1,0,0,0,0,0,0,0,0,0,211402752,25233056,0,0,0,0.1
2026-06-06T18:38:40.0921950Z,20260606T183826Z,custom,115.1,0,0,0,0,0,0,0,1880,12178,224018432,31518928,0,0,0,3.1
2026-06-06T18:38:45.0967500Z,20260606T183826Z,custom,120.11,1,11,11,11,0.7,0.7,0,19,24418,224935936,32172776,0,0,0,0.6
2026-06-06T18:38:50.1050080Z,20260606T183826Z,custom,125.12,1,11,11,11,0.7,0.7,0,4115,49132,230129664,35451088,0,0,0,2
2026-06-06T18:38:55.1071510Z,20260606T183826Z,custom,130.12,1,11,11,11,0.7,0.7,0,388,73434,233684992,38878824,0,0,0,0.7
2026-06-06T18:39:00.1098420Z,20260606T183826Z,custom,135.12,1,11,11,11,0.7,0.7,0,2652,91643,239403008,44409600,0,0,0,1
2026-06-06T18:39:05.1120900Z,20260606T183826Z,custom,140.12,1,11,11,11,0.7,0.7,0,3364,120500,248610816,52937848,0,0,0,1.3
2026-06-06T18:39:10.1140040Z,20260606T183826Z,custom,145.13,1,11,11,11,0.7,0.7,0,6489,144613,261947392,65073656,0,0,0,1.7
2026-06-06T18:39:15.1152000Z,20260606T183826Z,custom,150.13,7,7.3,8,7,0.5,0.9,0,1117,171576,278528000,80284000,0,0,0,1.9
2026-06-06T18:39:20.1161160Z,20260606T183826Z,custom,155.13,7,7.3,8,7,0.5,0.9,0,7796,203262,283312128,36026920,1,0,0,1.9
2026-06-06T18:39:25.1185500Z,20260606T183826Z,custom,160.13,7,7.3,8,7,0.5,0.9,0,1694,220760,284016640,59843768,0,0,0,1.8
2026-06-06T18:39:30.1216820Z,20260606T183826Z,custom,165.13,7,7.3,8,7,0.5,0.9,0,1370,220817,294551552,83671088,0,0,0,1.7
2026-06-06T18:39:35.1236010Z,20260606T183826Z,custom,170.14,7,7.3,8,7,0.5,0.9,0,1688,220679,315654144,107461896,0,0,0,1.6
2026-06-06T18:39:40.1265410Z,20260606T183826Z,custom,175.14,7,7.3,8,7,0.5,0.9,0,5276,244372,343293952,136725680,0,0,0,1.7
2026-06-06T18:39:45.1277490Z,20260606T183826Z,custom,180.14,12,4.8,6,3,0.5,1,0,9426,273675,378273792,173477784,0,0,0,2.2
2026-06-06T18:39:50.1324570Z,20260606T183826Z,custom,185.14,12,4.8,6,3,0.5,1,0,2080,294436,416071680,214350912,0,0,0,2.2
2026-06-06T18:39:55.1345270Z,20260606T183826Z,custom,190.15,12,4.8,6,3,0.5,1,0,2144,294280,456114176,255193560,0,0,0,2.2
2026-06-06T18:40:00.1358600Z,20260606T183826Z,custom,195.15,12,4.8,6,3,0.5,1,0,2206,294324,499023872,296552600,0,0,0,2.7
2026-06-06T18:40:05.1379680Z,20260606T183826Z,custom,200.15,12,4.8,6,3,0.5,1,0,1883,294052,514834432,41600640,1,1,0,2.5
2026-06-06T18:40:10.1402230Z,20260606T183826Z,custom,205.15,12,4.8,6,3,0.5,1,0,2216,294333,515063808,82550104,0,0,0,2.1
2026-06-06T18:40:15.1435550Z,20260606T183826Z,custom,210.16,13,4.2,5,4,0.5,1,0,6705,317011,470810624,130034480,0,0,0,2.5
2026-06-06T18:40:20.1450710Z,20260606T183826Z,custom,215.16,13,4.2,5,4,0.5,1,0,11100,344902,470597632,186194040,0,0,0,3.1
2026-06-06T18:40:25.1477750Z,20260606T183826Z,custom,220.16,13,4.2,5,4,0.5,1,0,7049,379224,439877632,63540840,1,0,0,3.2
2026-06-06T18:40:30.1523510Z,20260606T183826Z,custom,225.16,13,4.2,5,4,0.5,1,0,4495,390520,438255616,51327624,1,0,0,3.3
2026-06-06T18:40:35.1554900Z,20260606T183826Z,custom,230.17,13,4.2,5,4,0.5,1,0,6334,417642,438304768,48603184,1,0,0,4
2026-06-06T18:40:40.1570210Z,20260606T183826Z,custom,235.17,13,4.2,5,4,0.5,1,0,8101,427708,438353920,50428496,1,0,0,3.9
2026-06-06T18:40:45.1608170Z,20260606T183826Z,custom,240.17,19,4.3,7,2,0.4,1,0,9115,458396,438714368,63260600,1,0,0,4.4
